Model,Resampling,SNS,PRE,F1,SPC,GMN
LRC,RUS,0.89124487,0.909911692,0.896644957,0.995342566,0.941856654
LRC,EdNN,0.91997264,0.91359643,0.909784963,0.994437757,0.956480804
LRC,ReEdNN,0.91997264,0.91359643,0.909784963,0.994437757,0.956480804
LRC,AllKNN,0.92749658,0.919141385,0.920043656,0.995272251,0.960786974
LRC,NearMiss,0.81874145,0.869833903,0.822572385,0.993146379,0.901737271
LRC,ConNN,0.835841313,0.864306414,0.838193268,0.992322314,0.910727174
LRC,NCR,0.928864569,0.927783432,0.922764726,0.99549129,0.961601055
LRC,OSS,0.83994528,0.834355468,0.825690918,0.989538556,0.911678803
LRC,TomL,0.931600547,0.926683085,0.92703056,0.99576882,0.963150444
LRC,IHT,0.845417237,0.891322801,0.857290528,0.993565548,0.916502832
LRC,CluCen,0.900136799,0.918556715,0.90580206,0.996035855,0.946873025
KNN,RUS,0.860465116,0.888989631,0.869553683,0.994224254,0.924929883
KNN,AllKNN,0.903556772,0.892466711,0.894896295,0.993459982,0.947442607
KNN,EdNN,0.902188782,0.886172111,0.889832819,0.993224018,0.946612681
KNN,NearMiss,0.807113543,0.862529504,0.811193287,0.992570946,0.895051648
KNN,ReEdNN,0.902188782,0.886172111,0.889832819,0.993224018,0.946612681
KNN,NCR,0.904924761,0.893765813,0.895441707,0.993793493,0.94831869
KNN,OSS,0.66005472,0.648220883,0.627081815,0.977148104,0.803101001
KNN,TomL,0.911080711,0.900891236,0.903323674,0.994263238,0.951763657
KNN,ConNN,0.71751026,0.754240526,0.71149353,0.984849943,0.840618783
KNN,IHT,0.85499316,0.891835199,0.864660512,0.993444807,0.921622762
KNN,CluCen,0.874829001,0.894403684,0.879798749,0.994536525,0.932764383
BNB,RUS,0.845417237,0.866008339,0.849942911,0.992605144,0.916059768
BNB,AllKNN,0.875512996,0.879007267,0.873607001,0.992942027,0.932380635
BNB,NearMiss,0.785909713,0.831595675,0.788410953,0.990571077,0.882326147
BNB,EdNN,0.874829001,0.877585507,0.872192133,0.992830906,0.9319642
BNB,ReEdNN,0.874829001,0.877585507,0.872192133,0.992830906,0.9319642
BNB,NCR,0.875512996,0.882833299,0.874517677,0.993110702,0.932459826
BNB,OSS,0.644322845,0.699001404,0.638574482,0.981490265,0.795233676
BNB,TomL,0.874829001,0.881255323,0.873971581,0.993140574,0.93210953
BNB,ConNN,0.758549932,0.76234405,0.744661021,0.985339621,0.864539937
BNB,IHT,0.813953488,0.863873866,0.829580499,0.992864404,0.898969101
BNB,CluCen,0.23871409,0.689208892,0.216562224,0.984538442,0.484791913
LDA,RUS,0.887140903,0.916532657,0.895029903,0.995836349,0.939918698
LDA,AllKNN,0.913132695,0.915990686,0.913049633,0.994878997,0.953129865
LDA,NearMiss,0.829001368,0.884848026,0.834987649,0.993616264,0.907584289
LDA,EdNN,0.915184679,0.906452139,0.908808524,0.99441337,0.953976876
LDA,ReEdNN,0.915184679,0.906452139,0.908808524,0.99441337,0.953976876
LDA,NCR,0.914500684,0.912228335,0.911668444,0.99481697,0.953813818
LDA,OSS,0.852941176,0.85961864,0.848852967,0.992128269,0.919906002
LDA,TomL,0.911080711,0.913972548,0.911555055,0.99495241,0.952093456
LDA,ConNN,0.807113543,0.854979146,0.812620568,0.992264732,0.894913573
LDA,IHT,0.846785226,0.901304607,0.860710449,0.99245115,0.916729497
LDA,CluCen,0.895348837,0.923862604,0.901177603,0.996125275,0.944393777
AdaBoost,RUS,0.067031464,0.065684091,0.04390304,0.975023928,0.255650701
AdaBoost,ConNN,0.09370725,0.029207751,0.039788231,0.97274924,0.301916638
AdaBoost,NearMiss,0.227770178,0.061644564,0.092081271,0.886771152,0.449421876
AdaBoost,ReEdNN,0.287277702,0.206917483,0.216957928,0.936518686,0.518691561
AdaBoost,AllKNN,0.142954856,0.15771414,0.053170614,0.931020033,0.364820278
AdaBoost,EdNN,0.287277702,0.206917483,0.216957928,0.936518686,0.518691561
AdaBoost,OSS,0.168946648,0.101006966,0.106505592,0.939930541,0.398494811
AdaBoost,NCR,0.142954856,0.191803145,0.050120469,0.931292783,0.364873712
AdaBoost,TomL,0.348837209,0.244374404,0.244916865,0.939426183,0.572456817
AdaBoost,IHT,0.323529412,0.189958113,0.20887009,0.929940803,0.548509982
AdaBoost,CluCen,0.071135431,0.112491428,0.054428808,0.979257699,0.263931655
RandomForest,RUS,0.880984952,0.896739908,0.884851054,0.99447125,0.936009726
RandomForest,ConNN,0.807797538,0.846934508,0.804444592,0.991126773,0.894779172
RandomForest,ReEdNN,0.908344733,0.901946258,0.897486488,0.993896194,0.950158078
RandomForest,EdNN,0.908344733,0.901946258,0.897486488,0.993896194,0.950158078
RandomForest,NearMiss,0.79753762,0.867129578,0.801885479,0.992313224,0.88961066
RandomForest,AllKNN,0.917920657,0.907905151,0.908095156,0.994579769,0.955481719
RandomForest,NCR,0.915868673,0.906593715,0.906948461,0.994419965,0.954336468
RandomForest,OSS,0.778385773,0.74058231,0.748586255,0.985864465,0.876003923
RandomForest,TomL,0.922024624,0.914894996,0.914156541,0.994987843,0.95781172
RandomForest,IHT,0.838577291,0.894291085,0.853391427,0.994016587,0.912994927
RandomForest,CluCen,0.866621067,0.909024471,0.874431039,0.995343814,0.928755037
